sha,issues,change_type,name,additions,removals,context,message
16b7b1a7f797b720d9d48976f65055944773e911,784,M,openjpa-persistence/pom.xml,0,14,10,4
16b7b1a7f797b720d9d48976f65055944773e911,784,M,openjpa-persistence-jdbc/pom.xml,1,9,23,4
16b7b1a7f797b720d9d48976f65055944773e911,784,M,openjpa-slice/pom.xml,1,16,29,4
16b7b1a7f797b720d9d48976f65055944773e911,784,M,openjpa-xmlstore/pom.xml,0,12,6,4
16b7b1a7f797b720d9d48976f65055944773e911,784,M,pom.xml,10,0,6,4
7ce5b0dad89f76dbf15f07f36bc5036c6bc1c922,834,M,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/xmlmapping/query/TestXMLCustomerOrder.java,0,1,6,5
11dc47c80ab3883b2da6eabd38d3af6130239fc7,2117,M,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/XMLPersistenceMappingParser.java,1,1,6,4
722edd01da9731ea634ccec8e564c4cdc82cf051,2409,M,openjpa-tools/openjpa-maven-plugin/src/main/java/org/apache/openjpa/tools/maven/AbstractOpenJpaEnhancerMojo.java,1,1,6,8
722edd01da9731ea634ccec8e564c4cdc82cf051,2409,M,openjpa-tools/openjpa-maven-plugin/src/main/java/org/apache/openjpa/tools/maven/AbstractOpenJpaMojo.java,92,6,43,8
722edd01da9731ea634ccec8e564c4cdc82cf051,2409,M,openjpa-tools/openjpa-maven-plugin/src/main/java/org/apache/openjpa/tools/maven/OpenJpaSchemaMojo.java,2,1,12,8
722edd01da9731ea634ccec8e564c4cdc82cf051,2409,M,openjpa-tools/openjpa-maven-plugin/src/main/java/org/apache/openjpa/tools/maven/OpenJpaSqlMojo.java,2,1,12,8
bc29ef104d0494a08c348a58141760a51f18f534,2255,M,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingInfo.java,2,1,6,4
ddc42e807837f340306dbbf2e9f04255f8437539,631,M,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DB2Dictionary.java,9,1,10,4
51224e586cacf34f39c357a4a76f1b4bbd0ce38e,1027,M,openjpa-project/src/doc/manual/migration_considerations.xml,69,7,14,4
51224e586cacf34f39c357a4a76f1b4bbd0ce38e,1027,M,openjpa-project/src/doc/manual/ref_guide_remote.xml,47,72,28,4
134b37a753e7d250109a61adcc04547c1611cef1,666,M,openjpa-project/src/doc/manual/supported_databases.xml,7,0,6,4
eb1cf11b8744e4abf91a368610e5fe8f289247c0,2233,M,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/PCEnhancer.java,10,6,13,4
eb1cf11b8744e4abf91a368610e5fe8f289247c0,2233,M,openjpa-kernel/src/main/resources/org/apache/openjpa/enhance/localizer.properties,1,0,5,4
eb1cf11b8744e4abf91a368610e5fe8f289247c0,2233,A,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/enhance/TestEmbeddableEntityWithIDAnnotation.java,49,0,0,4
eb1cf11b8744e4abf91a368610e5fe8f289247c0,2233,A,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/enhance/common/apps/EmbeddableEntityWithIDAnnotation.java,105,0,0,4
eb1cf11b8744e4abf91a368610e5fe8f289247c0,2233,A,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/enhance/common/apps/IDOwningClassTestEntity.java,32,0,0,4
57f9f3af1da42be60f8d73594d4d1300909a83d9,185,M,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/XMLPersistenceMetaDataParser.java,6,0,6,4
57f9f3af1da42be60f8d73594d4d1300909a83d9,185,A,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/xml/TestXmlOverrideEntity.java,49,0,0,4
57f9f3af1da42be60f8d73594d4d1300909a83d9,185,A,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/xml/XmlOverrideEntity.java,45,0,0,4
57f9f3af1da42be60f8d73594d4d1300909a83d9,185,M,openjpa-persistence-jdbc/src/test/resources/org/apache/openjpa/persistence/xml/orm.xml,8,1,3,4
b66ea198aee33e0ee432d9b5c53c58e71b58b3a1,2069,M,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/NativeJDBCSeq.java,2,0,6,4
5cb14fe384cf59d2612817ec4c3f1c62e17dd611,1053,M,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/QueryImpl.java,15,15,13,4
5cb14fe384cf59d2612817ec4c3f1c62e17dd611,1053,M,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/TestUnwrap.java,38,5,24,4
f03f7b4f61cf7470bbd690e458be189466c6b655,1608,M,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/InformixDictionary.java,25,19,18,4
610023adee027bfa7124b3764df0b8fed5e2a672,678,M,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/exception/TestException.java,36,0,17,4
355f338e2c49f675c4dafe00cf19b1954112b246,873,M,openjpa-kernel/src/main/java/org/apache/openjpa/meta/ClassMetaData.java,6,2,9,4
355f338e2c49f675c4dafe00cf19b1954112b246,873,A,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/inheritance/mappedsuperclass/BaseEntity.java,34,0,0,4
355f338e2c49f675c4dafe00cf19b1954112b246,873,A,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/inheritance/mappedsuperclass/CashBaseEntity.java,89,0,0,4
355f338e2c49f675c4dafe00cf19b1954112b246,873,A,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/inheritance/mappedsuperclass/SituationDA.java,92,0,0,4
355f338e2c49f675c4dafe00cf19b1954112b246,873,A,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/inheritance/mappedsuperclass/TestMappedSuperClass.java,49,0,0,4
355f338e2c49f675c4dafe00cf19b1954112b246,873,A,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/inheritance/mappedsuperclass/ValuableItemDA.java,47,0,0,4
8607e0b3b4050a29c93c15bdd23fe676bf76490f,1397,M,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ClassMapping.java,5,2,13,4
