score,alpha,eta,num_topics
0.38963414634146337,0.2,0.2,350
0.36626016260162597,0.2,0.2,400
0.37693089430894305,0.2,0.2,450
0.36219512195121945,0.2,0.2,500
0.66199186991869918,0.2,0.3,50
0.57611788617886184,0.2,0.3,100
0.50416666666666665,0.2,0.3,150
0.45010162601626014,0.2,0.3,200
0.40711382113821137,0.2,0.3,250
0.40050813008130082,0.2,0.3,300
0.38729674796747965,0.2,0.3,350
0.38099593495934958,0.2,0.3,400
0.35508130081300815,0.2,0.3,450
0.37306910569105695,0.2,0.3,500
0.63404471544715446,0.2,0.4,50
0.5811991869918699,0.2,0.4,100
0.50802845528455287,0.2,0.4,150
0.47997967479674797,0.2,0.4,200
0.47042682926829271,0.2,0.4,250
0.40030487804878051,0.2,0.4,300
0.38709349593495934,0.2,0.4,350
0.39166666666666666,0.2,0.4,400
0.38607723577235781,0.2,0.4,450
0.37642276422764226,0.2,0.4,500
0.66524390243902431,0.2,0.5,50
0.60294715447154468,0.2,0.5,100
0.55579268292682926,0.2,0.5,150
0.48008130081300804,0.2,0.5,200
0.44400406504065038,0.2,0.5,250
0.43587398373983738,0.2,0.5,300
0.41046747967479674,0.2,0.5,350
0.39623983739837393,0.2,0.5,400
0.37845528455284549,0.2,0.5,450
0.37896341463414634,0.2,0.5,500
0.6421747967479674,0.2,0.6,50
0.66961382113821133,0.2,0.6,100
0.52886178861788613,0.2,0.6,150
0.5186991869918699,0.2,0.6,200
0.43587398373983738,0.2,0.6,250
0.44197154471544725,0.2,0.6,300
0.40436991869918698,0.2,0.6,350
0.38119918699186989,0.2,0.6,400
0.38861788617886178,0.2,0.6,450
0.36829268292682932,0.2,0.6,500
0.64979674796747966,0.2,0.7,50
0.61117886178861791,0.2,0.7,100
0.56290650406504061,0.2,0.7,150
0.52042682926829276,0.2,0.7,200
0.48109756097560979,0.2,0.7,250
0.42215447154471553,0.2,0.7,300
0.418089430894309,0.2,0.7,350
0.4089430894308943,0.2,0.7,400
0.39166666666666666,0.2,0.7,450
0.38912601626016258,0.2,0.7,500
0.61778455284552847,0.2,0.8,50
0.673170731707317,0.2,0.8,100
0.54156504065040656,0.2,0.8,150
0.52936991869918693,0.2,0.8,200
0.49095528455284554,0.2,0.8,250
0.43689024390243908,0.2,0.8,300
0.43180894308943085,0.2,0.8,350
0.40233739837398375,0.2,0.8,400
0.40284552845528454,0.2,0.8,450
0.39878048780487801,0.2,0.8,500
0.63201219512195128,0.2,0.9,50
0.66605691056910565,0.2,0.9,100
0.56443089430894311,0.2,0.9,150
0.53495934959349589,0.2,0.9,200
0.47347560975609759,0.2,0.9,250
0.46534552845528454,0.2,0.9,300
0.42063008130081309,0.2,0.9,350
0.42774390243902444,0.2,0.9,400
0.39522357723577234,0.2,0.9,450
0.39065040650406502,0.2,0.9,500
0.64928861788617886,0.2,1.0,50
0.68252032520325201,0.2,1.0,100
0.59491869918699181,0.2,1.0,150
0.53902439024390247,0.2,1.0,200
0.47093495934959351,0.2,1.0,250
0.46178861788617886,0.2,1.0,300
0.41605691056910571,0.2,1.0,350
0.42063008130081309,0.2,1.0,400
0.41605691056910576,0.2,1.0,450
0.3931910569105691,0.2,1.0,500
0.65538617886178863,0.2,auto,50
0.50233739837398383,0.2,auto,100
0.40182926829268295,0.2,auto,150
0.37642276422764226,0.2,auto,200
0.37012195121951219,0.2,auto,250
0.35203252032520327,0.2,auto,300
0.34034552845528454,0.2,auto,350
0.34034552845528454,0.2,auto,400
0.33780487804878045,0.2,auto,450
0.33831300813008131,0.2,auto,500
0.65843495934959351,0.2,,50
0.50040650406504061,0.2,,100
0.41554878048780491,0.2,,150
0.39319105691056905,0.2,,200
0.36951219512195121,0.2,,250
0.35609756097560974,0.2,,300
0.34186991869918698,0.2,,350
0.34034552845528454,0.2,,400
0.33475609756097557,0.2,,450
0.33678861788617886,0.2,,500
0.60945121951219505,0.3,0.1,50
0.47215447154471546,0.3,0.1,100
0.40487804878048783,0.3,0.1,150
0.35528455284552846,0.3,0.1,200
0.35914634146341468,0.3,0.1,250
0.35965447154471547,0.3,0.1,300
0.34441056910569101,0.3,0.1,350
0.33323170731707319,0.3,0.1,400
0.34542682926829271,0.3,0.1,450
0.33526422764227642,0.3,0.1,500
0.64065040650406502,0.3,0.2,50
0.5024390243902439,0.3,0.2,100
0.4335365853658536,0.3,0.2,150
0.38475609756097556,0.3,0.2,200
0.38048780487804873,0.3,0.2,250
0.36168699186991865,0.3,0.2,300
0.363719512195122,0.3,0.2,350
0.35254065040650406,0.3,0.2,400
0.34593495934959351,0.3,0.2,450
0.34085365853658539,0.3,0.2,500
0.59999999999999998,0.3,0.3,50
0.51432926829268288,0.3,0.3,100
0.42876016260162608,0.3,0.3,150
0.41707317073170735,0.3,0.3,200
0.36697154471544713,0.3,0.3,250
0.37154471544715451,0.3,0.3,300
0.36676829268292677,0.3,0.3,350
0.35660569105691059,0.3,0.3,400
0.35101626016260162,0.3,0.3,450
0.35071138211382114,0.3,0.3,500
0.6442073170731708,0.3,0.4,50
0.55680894308943085,0.3,0.4,100
0.4404471544715447,0.3,0.4,150
0.41250000000000003,0.3,0.4,200
0.39674796747967478,0.3,0.4,250
0.38119918699186989,0.3,0.4,300
0.38201219512195117,0.3,0.4,350
0.3639227642276423,0.3,0.4,400
0.36067073170731706,0.3,0.4,450
0.36219512195121956,0.3,0.4,500
