metadata,unique_words,total_words
949ecf9bbe550976e83af15398064de3481c013a,281,2466
9f298405d085c1f39c0bab8116f933875a5b7639,166,814
fd19ceae8c0548dad992a1b5e6449416d6eaab1d,103,261
40a5c82094fd12b015faad1b8f31db7e44aa96eb,386,1137
5e9fe9f3d4f6b23b42ce64c8bb04ced744acaabf,74,202
bcf6d982af2e300d621e73a76f7a28e46a57742d,174,859
edc318b34b6801363de7d0e3b0f50a7000d34c37,34,70
fc784fe57de9518930461a0c2b667fd050310bfd,219,1094
c0a9b8ca6f112281e8f76853094c28db4a220c7e,311,2310
dfce666724788e005343f376c184c6322cac1242,197,770
3c926fdb8d7f926eb27bea0bb1f962d04e28ffaa,127,360
043d374d0e31c0361e97d83eb3b4d3cbd436f61e,0,0
dab0409134ba08b88572b88f0b7c91329c92e2d3,152,542
f2c54dd55231e27d70e8c58437c7a9078f96f9cb,161,870
4585568251fba0bbfcf88c8b52497fb299e572c7,370,3939
e8ea8eaaee9ce66926fc5a842ad5a7473eeac69e,77,839
dd16ee5226b2c43f5b4b7e0776e8d5721cd2644e,182,1123
1661ce412d59e772f7dc3299e1c146c350fee634,114,296
313595fce7aec019d1164903ded77a60fa207642,433,4917
4000fcf20936f2e2412ae2afa93eed2d3835ca23,357,2864
b449010dce841b22ae2e40b1edb579fe4809de17,91,221
660a4a2acefc2941064b1a66767b15a1d3adad83,351,2344
51d1288fa458a33788737f220d72ce28a8afac1e,156,616
8cc4acafe955ad7ec0ad11475a99cb6b27fb75a0,169,974
b511514efb255ca8ee36f70f7852aa5ed7d6ed55,179,1023
5c3856504b7e037ba7c89e1b75017622bd48c4ec,155,980
8a9585854d44bb09c2cae7f29f280b40d52f6e74,77,245
abd02b8224d55c6f74587f75d42e530635aaba04,96,237
0d2e94f14072425edad1b0bb1adf893d2ee25265,223,1484
c3fb0f5c26ececd64548e755b95066fbf08f3896,294,2208
1f5e8a0b20766fb4bbca8c7133123c74616fe770,202,771
d40dafc510d099c8c4c71beb8b52c21e0e6a2b2f,187,850
0f71faaf8fa82f72cea414d01032ea0fed97f9c5,153,419
a1727954976ab55c2840802db05199e6f670377a,843,27321
b7e87b527bb5ce3132d09bdec746a496abe9aec0,278,1557
88d6d6716b96a6447535fcdb127bd219b912ad92,137,724
bb6be35eeaa265a6912e6fa84dfd54838b731836,150,737
087d09fc6a925b9a75f740df039571409270a47c,186,1925
96494599447fe8afb98e4168e9846811edfd7dae,410,14132
ba6c3c3133207790fdc926c4d9586d26bedc7453,148,357
d797e7b7fd644fcac6d35c236872b4a89c19c497,50,127
bfc532149911d8fba7b52c8063d5496278114e19,439,7129
25715eaf1d1068f4dffff7a66fee4c3c82361679,503,11424
05181f5b4456dcc9d7a5796746c972ad35f6fd0d,453,3424
605df2ec5e05ec33585e6514303ed65de383d501,8,13
15332802d315faf7bbaf1d315b00b4bb54055c14,21,50
a659c4f44035339fe78f04fb4b5ca32d2746aa9b,81,264
f374130ee95709c1fcef8606cf3ce228db60214c,187,1152
7abba50cd9d22deece4c3c3a9fafd3985e91e2f7,354,2775
d1a4c66c2b7a3eb206a0dff70d9430dfc02eec65,286,2302
1879c580fb1f84a2dd0bd41b5080bdb4ddc7938a,1173,32153
da4844400a0d97d8eb12c674da9ba36b0b6ea681,137,837
cff061baf2f570abc36d589eabf009a0e2337b00,28,45
4cd08bb584c9fe03a612de3cf4424273a0f9c028,147,504
86db2b719573c0492d207da37806596180e73e5a,93,495
d20e11dc21ce99b1b7cbf2e93f2bddba8fc6742d,212,1829
ff4fa8c710ac0de5c7f591434ac110797067c2d2,215,1661
15d841705251e90a94973754a9803b07975df3b8,44,83
5cbeb9c993ecfe1077801580114a48b84dc5e0da,67,179
1cbdcbbb13557d662d94b90f6d6dfb89243dc947,148,1146
10434b2eefd7afdd4922b54d6984eb67e549cb6a,71,320
159885e4d4a67c284d9193e68a2293f422a52077,202,912
d5c74bbab410d242e3b2b35db128e52d81e31b87,90,349
f4e34fb912c2e5f1d9c63db4aea7b8c6f4be1957,86,240
ebaeed568a0c0fd05af6d8716d2bd6daf5d8aaf0,174,828
5590920fe422a1e87f74a2d6d394042242f356b1,67,226
d6363e71c5712f004a4cbe90d3f9672e14165385,136,1027
9bbba47d4c0fa9e7934500b26c27fb53af87c685,96,393
49760a9f22cebaa04667df97dd9f3a1271d1bbf8,94,276
796e0aa7c97c05c5b2628afe82e7eca48b9e1899,102,338
a02669c6bf434c810b00b05a52c6c8e278640850,29,87
5c046966ace6e83e9d65cd94e55f890738dc7b46,221,1389
e91ab5e516d487d53b95c106c6e0245c04700ed4,672,18341
42c6c65d912a800d03b8e561fcda5f43189cd13b,385,1422
eace9875730784fa5e128f19229dd5b7cd1c0b58,381,11259
6b4592fe312baaf1a8c8a4a969c4d4102114cf8e,341,6307
