metadata,unique_words,total_words
"org.apache.pig.piggybank.storage.avro.AvroStorage.getSchema(Path,FileSystem)",19,41
"org.apache.pig.piggybank.storage.avro.AvroStorage.getSchemaFromFile(Path,FileSystem)",28,74
org.apache.pig.piggybank.storage.avro.AvroStorage.getInputFormat(),19,40
"org.apache.pig.piggybank.storage.avro.AvroStorage.prepareToRead(RecordReader,PigSplit)",12,22
org.apache.pig.piggybank.storage.avro.AvroStorage.getNext(),6,11
"org.apache.pig.piggybank.storage.avro.AvroStorage.getSchema(String,Job)",49,183
"org.apache.pig.piggybank.storage.avro.AvroStorage.getStatistics(String,Job)",6,8
"org.apache.pig.piggybank.storage.avro.AvroStorage.getPartitionKeys(String,Job)",6,8
org.apache.pig.piggybank.storage.avro.AvroStorage.setPartitionFilter(Expression),5,7
org.apache.pig.piggybank.storage.avro.AvroStorage.parseJsonString(String),25,83
org.apache.pig.piggybank.storage.avro.AvroStorage.parseStringList(String[]),39,138
"org.apache.pig.piggybank.storage.avro.AvroStorage.init(Map<String,Object>)",80,439
"org.apache.pig.piggybank.storage.avro.AvroStorage.relToAbsPathForStoreLocation(String,Path)",12,19
"org.apache.pig.piggybank.storage.avro.AvroStorage.setStoreLocation(String,Job)",14,24
org.apache.pig.piggybank.storage.avro.AvroStorage.checkSchema(ResourceSchema),37,148
org.apache.pig.piggybank.storage.avro.AvroStorage.getUDFProperties(),8,20
org.apache.pig.piggybank.storage.avro.AvroStorage.getSchemaKey(),7,8
org.apache.pig.piggybank.storage.avro.AvroStorage.parseSchemaMap(String),19,55
org.apache.pig.piggybank.storage.avro.AvroStorage.getOutputFormat(),20,70
org.apache.pig.piggybank.storage.avro.AvroStorage.prepareToWrite(RecordWriter),7,12
org.apache.pig.piggybank.storage.avro.AvroStorage.setStoreFuncUDFContextSignature(String),7,16
"org.apache.pig.piggybank.storage.avro.AvroStorage.cleanupOnFailure(String,Job)",9,14
"org.apache.pig.piggybank.storage.avro.AvroStorage.cleanupOnSuccess(String,Job)",6,7
org.apache.pig.piggybank.storage.avro.AvroStorage.putNext(Tuple),10,11
org.apache.pig.backend.hadoop.executionengine.fetch.FetchPOStoreImpl.FetchPOStoreImpl(PigContext),5,5
org.apache.pig.backend.hadoop.executionengine.fetch.FetchPOStoreImpl.createStoreFunc(POStore),28,103
org.apache.pig.backend.hadoop.executionengine.fetch.FetchPOStoreImpl.tearDown(),13,27
org.apache.pig.backend.hadoop.executionengine.fetch.FetchPOStoreImpl.cleanUp(),12,17
org.apache.pig.piggybank.test.evaluation.string.TestRegex.testRegexMatch(),16,45
org.apache.pig.piggybank.test.evaluation.string.TestRegex.testRegexExtract(),14,51
org.apache.pig.piggybank.test.evaluation.string.TestRegex.testRegexExtractAll(),14,57
org.apache.pig.StreamToPig.deserialize(byte[]),11,15
org.apache.pig.StreamToPig.getLoadCaster(),10,20
org.apache.pig.PigToStream.serialize(Tuple),12,17
org.apache.pig.piggybank.test.storage.TestMultiStorageCompression.testMultiStorageShouldSupportBz2(),28,51
org.apache.pig.piggybank.test.storage.TestMultiStorageCompression.testMultiStorageShouldSupportGz(),28,51
org.apache.pig.piggybank.test.storage.TestMultiStorageCompression.cleanUpDirs(List<String>),10,20
"org.apache.pig.piggybank.test.storage.TestMultiStorageCompression.verifyResults(String,List<String>,String)",55,190
"org.apache.pig.piggybank.test.storage.TestMultiStorageCompression.runQuery(String,String)",37,88
"org.apache.pig.backend.hadoop.datastorage.HFile.HFile(HDataStorage,Path,Path)",6,9
