sha,change_type,name,additions,removals,context,message
aceff84889da091010bcd893809427428a8b68a6,A,src/main/java/org/apache/tika/ms/MSParser.java,75,0,0,9
aceff84889da091010bcd893809427428a8b68a6,A,src/main/java/org/apache/tika/ms/PropertiesReaderListener.java,107,0,0,9
aceff84889da091010bcd893809427428a8b68a6,D,src/main/java/org/apache/tika/parser/msexcel/ExcelExtractor.java,0,91,0,9
aceff84889da091010bcd893809427428a8b68a6,M,src/main/java/org/apache/tika/parser/msexcel/MsExcelParser.java,55,13,13,9
aceff84889da091010bcd893809427428a8b68a6,M,src/main/java/org/apache/tika/parser/mspowerpoint/ContentReaderListener.java,7,13,27,9
aceff84889da091010bcd893809427428a8b68a6,M,src/main/java/org/apache/tika/parser/mspowerpoint/MsPowerPointParser.java,11,14,13,9
aceff84889da091010bcd893809427428a8b68a6,D,src/main/java/org/apache/tika/parser/mspowerpoint/PPTExtractor.java,0,55,0,9
aceff84889da091010bcd893809427428a8b68a6,M,src/main/java/org/apache/tika/parser/msword/MsWordParser.java,166,13,14,9
aceff84889da091010bcd893809427428a8b68a6,D,src/main/java/org/apache/tika/parser/msword/WordExtractor.java,0,229,0,9
aceff84889da091010bcd893809427428a8b68a6,D,src/main/java/org/apache/tika/utils/MSExtractor.java,0,160,0,9
bea95ec81acdd04bada5651d37e0e605ed4f8222,M,tika-parsers/pom.xml,1,1,6,6
0a4c37c6a4b95e530ba19d860f9e6dadf4b41d2f,M,tika-parsers/src/main/java/org/apache/tika/parser/image/ImageParser.java,0,1,6,6
0a4c37c6a4b95e530ba19d860f9e6dadf4b41d2f,A,tika-parsers/src/main/java/org/apache/tika/parser/image/TiffExtractor.java,64,0,0,6
0a4c37c6a4b95e530ba19d860f9e6dadf4b41d2f,A,tika-parsers/src/main/java/org/apache/tika/parser/image/TiffParser.java,68,0,0,6
0a4c37c6a4b95e530ba19d860f9e6dadf4b41d2f,M,tika-parsers/src/main/resources/META-INF/services/org.apache.tika.parser.Parser,1,0,6,6
0a4c37c6a4b95e530ba19d860f9e6dadf4b41d2f,A,tika-parsers/src/test/java/org/apache/tika/parser/image/TiffParserTest.java,42,0,0,6
0fadbd15f0fe277718e41d209347b2c6d5da9628,M,tika-core/src/test/java/org/apache/tika/mime/MimeDetectionTest.java,27,0,4,4
0fadbd15f0fe277718e41d209347b2c6d5da9628,M,tika-core/src/test/resources/org/apache/tika/mime/custom-mimetypes.xml,9,0,4,4
9e28f0c71d3db5ec791b8ca5f4bed229c59b2d60,M,tika-parsers/src/main/java/org/apache/tika/parser/ocr/TesseractOCRParser.java,15,14,27,4
73829b1ab018a20ab9d259c5393bf6de70d4193d,M,CHANGES.txt,4,1,3,4
73829b1ab018a20ab9d259c5393bf6de70d4193d,M,tika-parsers/src/main/java/org/apache/tika/parser/mbox/OutlookPSTParser.java,10,1,13,4
