sha,issues,change_type,name,additions,removals,context,message
815c45e1b9e40074dfb5520599296f6595102684,1352,M,tika-parsers/src/main/java/org/apache/tika/parser/pdf/PDF2XHTML.java,10,15,41,4
815c45e1b9e40074dfb5520599296f6595102684,1352,M,tika-parsers/src/main/java/org/apache/tika/parser/pdf/PDFParser.java,3,2,8,4
815c45e1b9e40074dfb5520599296f6595102684,1352,M,tika-parsers/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java,23,69,40,4
da0351d361d5c0b99dbae634076abb054b5e5062,394,M,tika-core/src/main/java/org/apache/tika/sax/XHTMLContentHandler.java,1,1,6,4
da0351d361d5c0b99dbae634076abb054b5e5062,394,M,tika-core/src/test/java/org/apache/tika/sax/XHTMLContentHandlerTest.java,58,0,11,4
28f00354e6a324aa7895e2a371a20d98c22ac630,416,M,tika-core/src/main/java/org/apache/tika/fork/ForkClient.java,17,14,61,6
28f00354e6a324aa7895e2a371a20d98c22ac630,416,M,tika-core/src/main/java/org/apache/tika/fork/ForkObjectInputStream.java,46,0,13,6
28f00354e6a324aa7895e2a371a20d98c22ac630,416,M,tika-core/src/main/java/org/apache/tika/fork/ForkParser.java,12,1,6,6
28f00354e6a324aa7895e2a371a20d98c22ac630,416,M,tika-core/src/main/java/org/apache/tika/fork/ForkServer.java,22,17,33,6
29bce92ec9fccbf54c9c1dae3398c8d247133a01,1383,M,tika-server/src/test/java/org/apache/tika/server/TikaWelcomeTest.java,21,0,6,4
f21a6fd1a4de0f74676fc8475874e7e59f23e28a,225,A,tika-core/src/main/java/org/apache/tika/detect/XmlRootExtractor.java,67,0,0,6
f21a6fd1a4de0f74676fc8475874e7e59f23e28a,225,M,tika-core/src/main/java/org/apache/tika/mime/MimeType.java,31,5,41,6
f21a6fd1a4de0f74676fc8475874e7e59f23e28a,225,M,tika-core/src/main/java/org/apache/tika/mime/MimeTypes.java,37,13,79,6
f21a6fd1a4de0f74676fc8475874e7e59f23e28a,225,M,tika-core/src/main/resources/mime/tika-mimetypes.xml,18,10,39,6
f21a6fd1a4de0f74676fc8475874e7e59f23e28a,225,A,tika-core/src/test/java/org/apache/tika/mime/MimeDetectionTest.java,56,0,0,6
f21a6fd1a4de0f74676fc8475874e7e59f23e28a,225,A,tika-core/src/test/resources/org/apache/tika/mime/circles-with-prefix.svg,8,0,0,6
f21a6fd1a4de0f74676fc8475874e7e59f23e28a,225,A,tika-core/src/test/resources/org/apache/tika/mime/circles.svg,8,0,0,6
f21a6fd1a4de0f74676fc8475874e7e59f23e28a,225,A,tika-core/src/test/resources/org/apache/tika/mime/datamatrix.png,0,0,0,6
f21a6fd1a4de0f74676fc8475874e7e59f23e28a,225,A,tika-core/src/test/resources/org/apache/tika/mime/stylesheet.xsl,9,0,0,6
f21a6fd1a4de0f74676fc8475874e7e59f23e28a,225,A,tika-core/src/test/resources/org/apache/tika/mime/test-iso-8859-1.xml,2,0,0,6
f21a6fd1a4de0f74676fc8475874e7e59f23e28a,225,A,tika-core/src/test/resources/org/apache/tika/mime/test-long-comment.xml,21,0,0,6
f21a6fd1a4de0f74676fc8475874e7e59f23e28a,225,A,tika-core/src/test/resources/org/apache/tika/mime/test-utf16be.xml,0,0,0,6
f21a6fd1a4de0f74676fc8475874e7e59f23e28a,225,A,tika-core/src/test/resources/org/apache/tika/mime/test-utf16le.xml,0,0,0,6
f21a6fd1a4de0f74676fc8475874e7e59f23e28a,225,A,tika-core/src/test/resources/org/apache/tika/mime/test-utf8.xml,2,0,0,6
f21a6fd1a4de0f74676fc8475874e7e59f23e28a,225,A,tika-core/src/test/resources/org/apache/tika/mime/test.html,10,0,0,6
6dfc32d37c261300ebd0fcd83d4c64e217e2f7a0,928,M,tika-core/src/main/java/org/apache/tika/metadata/TikaCoreProperties.java,56,30,20,4
cfe3527af83d582d12a43a6f42ff30bd2d15a379,31,M,CHANGES.txt,3,0,3,4
cfe3527af83d582d12a43a6f42ff30bd2d15a379,31,M,src/main/java/org/apache/tika/exception/TikaException.java,4,0,4,4
